Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
b748fb80-06ac-32f8-a3d9-5b95c71af1e0,74ab949d-17ac-3309-83a0-13b4405c66aa,Ted955 Reilly981,M,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,5326,0
645f76d8-912b-3c04-ad53-cfe3ad63c91f,588f6ce6-b8db-3588-8189-29db2680a313,Tiffaney302 Brakus656,F,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,021302331,42.311587599999996,-71.09800136347226,47,0
33dfa243-cc01-3f0d-8b25-b6f97bdddadd,324b4137-57a0-3ae0-89db-1c33f57ae0c1,Marquis364 Satterfield305,M,GENERAL PRACTICE,134 NORTH ST,NORTH READING,MA,018641315,42.5892341,-71.10546522083789,1,0
96815521-7e98-3372-8e30-4a688a60e3f3,b6398e07-4967-31a5-807f-380039a1f303,Aleen595 Lueilwitz711,F,GENERAL PRACTICE,19 TACOMA ST,WORCESTER,MA,016053516,42.30230485,-71.76614692511056,31,0
f387a9e3-4225-37ea-b41c-08a825d5632c,faffaf6a-ee1a-3673-b0b0-421a9c249244,Gustavo235 Armstrong51,M,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,872,0
097c6ef2-66dc-37e4-9c2d-5c63c7b1634d,17a4bae5-8b64-34d7-8144-b428be027bd0,Olympia319 Ward668,F,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,135,0
5ef93cfd-ed8e-3cb6-8763-99caf4402ed6,4112b8b1-59df-3255-a7ca-f42ee0a4cb2e,Nereida276 Feeney44,F,GENERAL PRACTICE,37 ROUTE 6A,SANDWICH,MA,025631801,41.766329400000004,-70.5147600346998,36,0
796fef8e-02e4-3fce-9582-d999c25844d0,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Jules135 Emard19,M,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,1523,0
733f91f3-1f2e-3573-abc6-11b3865933ce,e76b5eb0-0c9d-3593-b5da-3c0e9a97bb96,Gisele901 Lehner980,F,GENERAL PRACTICE,1400 VFW Parkway,West Roxbury,MA,02132,42.2793,-71.1657,129,0
53750d48-d2c4-3314-a6a1-ebb56f2c3cfb,c241b977-4131-32e4-9957-e0a00b2a1e5f,Kip442 Krajcik437,M,GENERAL PRACTICE,94 MAIN STREET,HYANNIS,MA,026013146,41.6562802,-70.27448000204822,89,0
6fd446c2-876a-3782-a004-30b4d5a52104,e33fbb39-3d48-356e-b719-6942a94c09d9,Ronni748 Harris789,F,GENERAL PRACTICE,512 MAIN ST,HOLDEN,MA,015202039,42.33457565,-71.83651795564862,15,0
e9c0c2e2-6841-3553-96c6-4c6f463cf5d1,ef5390b4-cba5-3d83-96db-af783a7adb43,Evan94 Anderson154,F,GENERAL PRACTICE,360 MERRIMACK ST,MALDEN,MA,021482329,42.4250964,-71.066163,13,0
c2257291-3461-3a07-a69d-5dca84910dc7,77645e49-3f69-3d1d-bb93-dc65210e2fac,Bernardo699 Armijo730,M,GENERAL PRACTICE,363 HIGHLAND AVE,FALL RIVER,MA,027205246,41.7093779,-71.1460783680883,323,0
af972eb6-4e30-3b90-9df4-60a94ab099f8,6fafb5d4-ecca-37ab-8d24-53036a8cbf1e,Estela596 Benítez559,F,GENERAL PRACTICE,320 WEST CENTER STREET  2ND FLOOR,WEST BRIDGEWATER,MA,02379,42.016080599999995,-71.02601589317304,73,0
ad8569c0-350e-3ec3-9cfd-39e45960b85e,aa682136-a4df-3942-9f50-e6fcee6c0b73,Precious140 Runolfsson901,F,GENERAL PRACTICE,501 CORDWAINER DRIVE,NORWELL,MA,020611630,42.1647071,-70.88149077838713,88,0
e0df81fd-f2eb-3e80-b902-a8c99b8ff22a,d2284f74-b6da-3a15-9791-84cdf2db18fb,Donnell534 Mosciski958,M,GENERAL PRACTICE,331 E FALMOUTH HWY,E FALMOUTH,MA,025366039,41.57853245,-70.5617374807812,155,0
ebe88ae0-d964-3f3c-9852-e1f363cadd44,5becf220-2978-3f33-bd38-9326947f85de,Tijuana228 Leannon79,F,GENERAL PRACTICE,240 LYNNFIELD STREET,PEABODY,MA,019605055,42.5141736,-70.97106354209534,95,0
317ba96a-4d1d-3bf7-9d39-4d73b56b5ea1,ae88fd02-4911-3625-9e97-85b626ed3b0b,Cherrie404 Farrell962,F,GENERAL PRACTICE,476 VARNUM AVE,LOWELL,MA,018542122,42.6443795,-71.34721987550876,1,0
46b997b6-50a9-3c9d-8a5c-fc56551f6fe3,a58ec72a-cf43-3de5-88c1-de2fbec976a5,Blossom971 Bartoletti50,F,GENERAL PRACTICE,255 CENTRAL AVE,CHELSEA,MA,021503508,42.38804035,-71.02650270378646,2,0
a53664fa-d6a6-3794-bec1-315319ca5bb1,03d0392a-7361-32b3-81c9-8c8ac985be00,Sid118 Daniel959,M,GENERAL PRACTICE,280 WASHINGTON ST STE 204,BROOKLINE,MA,024451922,42.33302785,-71.1193506756953,181,0
a7158e7e-a8a4-3de3-a3d7-3b353d203757,a8c95c30-d410-3b6c-b5c8-ceafabf5665b,María Teresa440 Mascareñas995,F,GENERAL PRACTICE,320 WASHINGTON ST FL 3,ALLSTON,MA,021341711,42.3555375,-71.1327494,4,0
0b603ab0-524f-331b-aca4-0bc5359965be,a418cf76-2ee3-3736-a752-29ee33e86015,Nicolas769 Kuhlman484,M,GENERAL PRACTICE,62 CENTER STREET,FAIRHAVEN,MA,027193823,41.63663425,-70.90101829397507,18,0
56a7999c-4ac8-31ba-a3a0-3b1d97c7b556,2936ca90-6594-357d-be14-53fe0ab84dd1,Daniel959 Ankunding277,M,GENERAL PRACTICE,11 TREMONT ST,KINGSTON,MA,023641231,42.00823215,-70.72984043580247,490,0
bb0da12e-fcaf-316b-8b61-fc06ebc8a2c2,77d67d58-b097-3309-a94c-abd49c432528,Demetrius568 Moore224,M,GENERAL PRACTICE,383 MILL ST,WORCESTER,MA,016022414,42.2618147,-71.85253220643622,1,0
cf8fdf84-2e9a-3223-895b-3e96be78b1a7,42d4b607-f14d-370a-818e-40965685776c,Arlen68 Hettinger594,M,GENERAL PRACTICE,3 WASHINGTON ST STE 220,NORTH EASTON,MA,023561034,42.0667665,-71.1036592,979,0
fdf3f972-9e79-36eb-b202-23332065a1fc,ab701a70-a658-340e-8f69-ee196a7d40c6,Bud153 Parisian75,M,GENERAL PRACTICE,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,501,0
fb162f49-5cd5-3c4d-a9a5-f970481a1fad,41e77ca4-b0d7-3c1d-ac88-4ae5a705913d,Johnson679 Pfeffer420,M,GENERAL PRACTICE,20 CLAFLIN STREET,MILFORD,MA,017573356,42.137601149999995,-71.51680334935877,1,0
46c1a2e9-31f6-3f60-aa3c-916707faece9,11ba6a26-59b4-3728-a268-6dc9929962b4,Archie818 McCullough561,M,GENERAL PRACTICE,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,127,0
311b25d2-9021-382a-9749-39b3d8d01927,f736c0f5-6d39-3e26-8ac1-39e1fc60dfbe,Joe656 Jakubowski832,M,GENERAL PRACTICE,11 QUARRY HILL ROAD,LEE,MA,012389645,42.2816564,-73.25307843923315,249,0
2957e19e-f394-30a9-970c-ee3fe08a6234,af2d050e-91a7-3acb-8b27-0bf6a259645e,Ronny764 Bernhard322,M,GENERAL PRACTICE,57 CITY HALL AVE,GARDNER,MA,014402614,42.5760669,-71.9934081,58,0
3f5eb268-a34a-3891-9b2f-3b901480fd51,71472d9b-aa5c-3b49-a5c3-d0eee8859015,Tyree261 Kutch271,M,GENERAL PRACTICE,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,157,0
9d7dfaf1-1185-36cd-8ed4-10d5cf8c9484,8a2e2731-3240-39d1-b4f0-cad14200937d,Randa356 Ritchie586,F,GENERAL PRACTICE,88 WASHINGTON ST,TAUNTON,MA,027802465,41.9062805,-71.09518121351795,332,0
deb537bc-34c1-3f47-965f-a9a2972366b6,bee866be-d41f-3259-97b2-0e10331c6c16,Rosy219 Sawayn19,F,GENERAL PRACTICE,589 HIGHLAND AVE,NEEDHAM,MA,024942205,42.300873100000004,-71.22988027903574,1,0
9c2c638c-38b3-3e8a-9256-fa5d878dda3c,dcbd0460-9bcf-3e7d-a923-1d22bcc5a9bd,Salvador46 Dooley940,M,GENERAL PRACTICE,279 DALTON AVENUE  SUITE B,PITTSFIELD,MA,012013500,42.4606344,-73.22185917597403,17,0
862e4868-3884-3a66-8a91-6eea40a6df92,cace8de6-490b-3a37-a1c0-971e147c8c41,Marlena558 Corwin846,F,GENERAL PRACTICE,1275 ELM ST STE D,WEST SPRINGFIELD,MA,010891818,42.120997200000005,-72.62797591511128,10,0
f4285cc6-92fb-3ee0-8bb4-880d91d2cebf,88e28a1c-aad9-36d0-832b-b579ecb95c3d,Anthony633 Toy286,M,GENERAL PRACTICE,14 MANNING AVENUE,LEOMINSTER,MA,014535768,42.5253035,-71.7584413,206,0
ca54ab8b-0618-3d99-9040-e8083d4380d6,bd6cec50-10de-3696-940b-4022618764ab,Lynn917 Graham902,F,GENERAL PRACTICE,40 MARTIN ST,MELROSE,MA,021763607,42.457050550000005,-71.07494593157304,4,0
ed8134ce-1fb4-3e4a-a3b7-4a97bf136677,4cf79e95-2815-3a4c-a3b8-951fe548dd27,Jasper743 Champlin946,M,GENERAL PRACTICE,20 ELM ST,PITTSFIELD,MA,012016502,42.4458896,-73.2448206979669,171,0
5df74590-ae5a-3ac3-a2af-21a4742d234d,52ecddd8-42f6-35cc-88a5-cf474c02fb49,Cecil300 Fahey393,M,GENERAL PRACTICE,94 OBERY STREET,PLYMOUTH,MA,023602130,41.93725,-70.65503160208334,81,0
